E:/courses/ml/droplet-counter/datasets/droplets/test/original/LB FOS lambda 5 2.jpg
788, 639, 41.0, full
370, 531, 33, empty
1224, 678, 34, full
12, 918, 48.0, not_a_droplet
560, 797, 45, full
184, 930, 45, full
454, 273, 51.0, full
1043, 625, 49.0, full
1015, 818, 49.0, full
159, 579, 46, full
450, 70, 47, full
354, 271, 50.0, full
280, 894, 47.0, empty
528, 987, 48.0, full
1143, 1023, 46.0, not_a_droplet
855, 580, 50.0, full
864, 707, 50, full
311, 701, 48.0, full
1088, 943, 46, full
261, 544, 48.0, full
1062, 723, 48, full
213, 734, 48, full
723, 469, 48.0, full
394, 756, 49.0, empty
837, 801, 47, full
971, 689, 48, full
1040, 265, 49.0, full
807, 897, 49, full
182, 486, 47, full
444, 562, 48.0, full
1040, 1024, 45.0, not_a_droplet
336, 606, 47.0, full
122, 771, 49, full
372, 857, 52.0, empty
320, 174, 48, full
584, 704, 48, full
898, 404, 49, empty
1273, 356, 49.0, not_a_droplet
744, 821, 48.0, empty
929, 777, 46, empty
712, 917, 50.0, empty
546, 892, 49, empty
905, 260, 46.0, full
825, 162, 51.0, full
90, 973, 49, full
614, 417, 50.0, full
701, 371, 49.0, full
637, 17, 49.0, not_a_droplet
1025, 530, 50, full
493, 726, 47.0, full
995, 912, 48, empty
1273, 758, 44.0, full
114, 305, 47.0, full
633, 853, 50.0, empty
199, 834, 49.0, full
814, 289, 50.0, full
421, 468, 49, empty
331, 367, 48.0, full
15, 823, 49.0, not_a_droplet
431, 368, 48, empty
613, 608, 50.0, full
969, 333, 51, empty
1130, 857, 49.0, empty
1123, 550, 49.0, full
515, 141, 48, full
234, 637, 50.0, empty
968, 27, 53.0, not_a_droplet
265, 991, 48.0, not_a_droplet
359, 957, 50.0, empty
48, 708, 47, full
133, 401, 48, empty
620, 953, 50, empty
1138, 282, 48.0, empty
771, 730, 48.0, full
822, 487, 47, full
904, 871, 51.0, empty
517, 629, 49.0, full
549, 248, 47.0, empty
950, 594, 48, empty
471, 821, 52, empty
254, 303, 49, empty
1187, 934, 51.0, empty
17, 138, 49.0, not_a_droplet
636, 509, 47.0, empty
32, 415, 49.0, not_a_droplet
1201, 487, 50.0, full
969, 191, 50.0, full
1244, 1015, 46.0, not_a_droplet
1098, 452, 50.0, empty
636, 207, 49, empty
921, 498, 51.0, full
699, 1013, 50.0, not_a_droplet
422, 660, 50.0, empty
1187, 37, 47.0, not_a_droplet
138, 673, 51.0, empty
667, 760, 51.0, empty
240, 404, 51.0, empty
611, 110, 47, empty
293, 799, 48.0, empty
64, 604, 50, full
1189, 174, 51.0, full
1232, 845, 50, empty
718, 568, 48, full
1141, 645, 48.0, empty
417, 164, 50, empty
866, 46, 49, full
88, 71, 51, full
448, 922, 48.0, empty
995, 434, 51, empty
84, 503, 50, empty
1071, 356, 51.0, empty
221, 198, 50, empty
317, 462, 49.0, empty
1261, 246, 50.0, not_a_droplet
714, 270, 50.0, not_a_droplet
622, 308, 47, full
542, 41, 48.0, not_a_droplet
544, 534, 48.0, empty
526, 344, 48, empty
726, 170, 51.0, full
355, 82, 48, empty
696, 664, 49.0, empty
1217, 582, 51.0, empty
103, 869, 52, empty
519, 444, 49, empty
800, 391, 51, not_a_droplet
1167, 382, 51.0, empty
17, 317, 48.0, not_a_droplet
1084, 169, 50, not_a_droplet
432, 1020, 50.0, not_a_droplet
3, 1009, 44.0, not_a_droplet
0, 46, 45.0, not_a_droplet
1166, 754, 60.0, empty
1076, 58, 63.0, full
